,Aggregated,2016,0,5,32.838934275793676,1.3106000000000506,545.7938,8688.0,105.94136545452122,0.0,5,8,10,11,64,140,530,540,540,550,550
GET,/,2317,0,92,109.21074648252059,1.1913999999997316,698.7407999999999,8688.0,121.83631622994184,0.0,92,100,190,200,290,390,500,590,700,700,700
,Aggregated,2317,0,92,109.21074648252059,1.1913999999997316,698.7407999999999,8688.0,121.83631622994184,0.0,92,100,190,200,290,390,500,590,700,700,700
GET,/,2994,0,500.0,485.67671523046084,7.748199999999983,999.1519000000011,8688.0,158.22252483651206,0.0,500,590,600,620,700,710,800,820,1000,1000,1000
,Aggregated,2994,0,500.0,485.67671523046084,7.748199999999983,999.1519000000011,8688.0,158.22252483651206,0.0,500,590,600,620,700,710,800,820,1000,1000,1000
GET,/,2870,0,300.0,360.2711046341459,1.9407999999998538,1202.8880999999997,8688.0,151.20387952272708,0.0,300,400,430,500,700,900,930,1000,1100,1200,1200
,Aggregated,2870,0,300.0,360.2711046341459,1.9407999999998538,1202.8880999999997,8688.0,151.20387952272708,0.0,300,400,430,500,700,900,930,1000,1100,1200,1200
GET,/,2533,0,85,100.73766316620616,1.1817000000000633,653.5178,8688.0,133.7067652476322,0.0,85,96,100,160,300,420,520,520,620,650,650
,Aggregated,2533,0,85,100.73766316620616,1.1817000000000633,653.5178,8688.0,133.7067652476322,0.0,85,96,100,160,300,420,520,520,620,650,650
GET,/,1871,0,5,50.9712395510423,1.0411999999995203,728.3601000000002,8688.0,98.43125682539748,0.0,5,7,56,84,100,270,540,630,730,730,730
,Aggregated,1871,0,5,50.9712395510423,1.0411999999995203,728.3601000000002,8688.0,98.43125682539748,0.0,5,7,56,84,100,270,540,630,730,730,730
GET,/,2922,0,200.0,235.33506269678358,1.2927000000004796,703.4996000000002,8688.0,153.64527322216904,0.0,200,300,300,390,410,500,590,600,700,700,700
,Aggregated,2922,0,200.0,235.33506269678358,1.2927000000004796,703.4996000000002,8688.0,153.64527322216904,0.0,200,300,300,390,410,500,590,600,700,700,700
GET,/,3062,0,290.0,265.73891358589185,1.4876999999997587,795.5079999999999,8688.0,160.86182594977734,0.0,290,300,390,400,490,500,600,620,720,800,800
,Aggregated,3062,0,290.0,265.73891358589185,1.4876999999997587,795.5079999999999,8688.0,160.86182594977734,0.0,290,300,390,400,490,500,600,620,720,800,800
GET,/,2678,0,95,136.98703491411487,1.2708000000003494,747.1790999999998,8688.0,140.78477790437964,0.0,95,100,140,200,400,510,610,700,710,750,750
,Aggregated,2678,0,95,136.98703491411487,1.2708000000003494,747.1790999999998,8688.0,140.78477790437964,0.0,95,100,140,200,400,510,610,700,710,750,750
GET,/,2426,0,7,54.240906677658785,1.2556999999997487,484.1036999999999,8688.0,127.89581247353331,0.0,7,69,93,95,110,200,340,350,450,480,480
,Aggregated,2426,0,7,54.240906677658785,1.2556999999997487,484.1036999999999,8688.0,127.89581247353331,0.0,7,69,93,95,110,200,340,350,450,480,480
GET,/,3081,0,4,34.36576049983767,1.1694000000002092,391.5183000000004,8688.0,161.93220459746766,0.0,4,6,9,46,97,200,300,320,360,390,390
