GET,/,6714,0,76,93.10953662,1.1094,528.4875,1507,354.1391376,0,76,98,120,160,210,270,340,390,520,530,530
,Aggregated,6714,0,76,93.10953662,1.1094,528.4875,1507,354.1391376,0,76,98,120,160,210,270,340,390,520,530,530
GET,/,7479,0,95,124.3177342,1.223,786.0814,1507,393.3108864,0,95,120,180,200,280,300,380,420,690,790,790
,Aggregated,7479,0,95,124.3177342,1.223,786.0814,1507,393.3108864,0,95,120,180,200,280,300,380,420,690,790,790
GET,/,6652,0,85,222.0854622,0.9844,2020.6018,1507,348.3565122,0,85,110,190,210,800,1100,1400,1600,2000,2000,2000
,Aggregated,6652,0,85,222.0854622,0.9844,2020.6018,1507,348.3565122,0,85,110,190,210,800,1100,1400,1600,2000,2000,2000
GET,/,6934,0,73,87.53433708,0.9845,583.7482,1507,362.6449859,0,73,93,100,120,200,270,370,450,530,580,580
,Aggregated,6934,0,73,87.53433708,0.9845,583.7482,1507,362.6449859,0,73,93,100,120,200,270,370,450,530,580,580
GET,/,6566,0,44,64.40737617,1.1131,489.4201,1507,344.7751102,0,44,76,90,99,170,200,290,310,480,490,490
,Aggregated,6566,0,44,64.40737617,1.1131,489.4201,1507,344.7751102,0,44,76,90,99,170,200,290,310,480,490,490
GET,/,7188,0,85,102.0143381,1.1727,638.8639,1507,378.0967744,0,85,100,120,170,210,290,370,400,550,640,640
,Aggregated,7188,0,85,102.0143381,1.1727,638.8639,1507,378.0967744,0,85,100,120,170,210,290,370,400,550,640,640
GET,/,7561,0,69,74.05879646,1.1402,540.5175,1507,396.3295949,0,69,86,98,100,160,200,260,310,440,540,540
,Aggregated,7561,0,69,74.05879646,1.1402,540.5175,1507,396.3295949,0,69,86,98,100,160,200,260,310,440,540,540
GET,/,7194,0,40,60.10612695,1.1028,507.7556,1507,376.4519899,0,40,73,85,91,110,190,270,310,500,510,510
,Aggregated,7194,0,40,60.10612695,1.1028,507.7556,1507,376.4519899,0,40,73,85,91,110,190,270,310,500,510,510
GET,/,7023,0,17,44.71258307,0.8945,675.5471,1507,369.6969112,0,17,43,65,75,99,170,280,290,470,680,680
,Aggregated,7023,0,17,44.71258307,0.8945,675.5471,1507,369.6969112,0,17,43,65,75,99,170,280,290,470,680,680
GET,/,7370,0,22,47.23523627,1.06,725.7216,1507,386.4476007,0,22,47,69,79,100,150,250,310,490,730,730
,Aggregated,7370,0,22,47.23523627,1.06,725.7216,1507,386.4476007,0,22,47,69,79,100,150,250,310,490,730,730
GET,/,7096,0,33,59.23281391,1.1209,522.2871,1507,372.4915978,0,33,72,86,93,120,200,290,310,500,520,520
,Aggregated,7096,0,33,59.23281391,1.1209,522.2871,1507,372.4915978,0,33,72,86,93,120,200,290,310,500,520,520
GET,/,7076,0,18,40.87727853,0.9844,526.5331,1507,371.2170626,0,18,39,59,71,99,130,200,290,380,530,530
,Aggregated,7076,0,18,40.87727853,0.9844,526.5331,1507,371.2170626,0,18,39,59,71,99,130,200,290,380,530,530
GET,/,7143,0,19,40.52363899,1.0574,437.3625,1507,374.1888001,0,19,30,52,67,100,160,200,220,380,440,440
,Aggregated,7143,0,19,40.52363899,1.0574,437.3625,1507,374.1888001,0,19,30,52,67,100,160,200,220,380,440,440
GET,/,7267,0,18,37.60039045,1.033,498.2854,1507,381.1804118,0,18,28,46,61,94,120,200,250,460,500,500
,Aggregated,7267,0,18,37.60039045,1.033,498.2854,1507,381.1804118,0,18,28,46,61,94,120,200,250,460,500,500
GET,/,7144,0,18,42.03831814,1.0069,452.2778,1507,374.5501299,0,18,29,56,68,110,180,220,270,430,450,450
,Aggregated,7144,0,18,42.03831814,1.0069,452.2778,1507,374.5501299,0,18,29,56,68,110,180,220,270,430,450,450
GET,/,6382,0,29,153.4619967,1.0032,1952.7284,1507,338.978333,0,29,73,95,110,570,930,1300,1500,1900,2000,2000
,Aggregated,6382,0,29,153.4619967,1.0032,1952.7284,1507,338.978333,0,29,73,95,110,570,930,1300,1500,1900,2000,2000
GET,/,7125,0,37,67.80584957,1.1151,502.9454,1507,373.5814768,0,37,71,89,100,180,240,330,360,500,500,500
,Aggregated,7125,0,37,67.80584957,1.1151,502.9454,1507,373.5814768,0,37,71,89,100,180,240,330,360,500,500,500
GET,/,7780,0,67,74.8320068,0.9501,754.548,1507,407.4267949,0,67,85,94,100,160,200,280,350,660,750,750
,Aggregated,7780,0,67,74.8320068,0.9501,754.548,1507,407.4267949,0,67,85,94,100,160,200,280,350,660,750,750
GET,/,8076,0,80,92.72520719,1.1482,674.5829,1507,424.1402102,0,80,97,110,130,200,250,310,390,570,670,670
,Aggregated,8076,0,80,92.72520719,1.1482,674.5829,1507,424.1402102,0,80,97,110,130,200,250,310,390,570,670,670
GET,/,7857,0,48,67.68068023,1.0178,605.4864,1507,413.0564558,0,48,80,91,100,160,200,290,320,560,610,610
,Aggregated,7857,0,48,67.68068023,1.0178,605.4864,1507,413.0564558,0,48,80,91,100,160,200,290,320,560,610,610
GET,/,7485,0,50,63.59683027,1.1022,481.8029,1507,392.9331708,0,50,80,90,95,150,200,280,290,350,480,480
,Aggregated,7485,0,50,63.59683027,1.1022,481.8029,1507,392.9331708,0,50,80,90,95,150,200,280,290,350,480,480
GET,/,7452,0,63,68.13159198,1.1762,593.5763,1507,392.233984,0,63,82,91,96,150,200,280,290,380,590,590
,Aggregated,7452,0,63,68.13159198,1.1762,593.5763,1507,392.233984,0,63,82,91,96,150,200,280,290,380,590,590
GET,/,6594,0,69,163.4489003,1.1565,1458.2495,1507,346.927233,0,69,98,140,190,550,890,1100,1100,1400,1500,1500
,Aggregated,6594,0,69,163.4489003,1.1565,1458.2495,1507,346.927233,0,69,98,140,190,550,890,1100,1100,1400,1500,1500
GET,/,7494,0,24,51.10729207,0.9914,670.339,1507,393.7974838,0,24,51,73,82,100,190,260,350,550,670,670
,Aggregated,7494,0,24,51.10729207,0.9914,670.339,1507,393.7974838,0,24,51,73,82,100,190,260,350,550,670,670
GET,/,7730,0,23,47.3102418,1.133,593.9816,1507,407.5587462,0,23,34,57,68,98,190,300,360,580,590,590
,Aggregated,7730,0,23,47.3102418,1.133,593.9816,1507,407.5587462,0,23,34,57,68,98,190,300,360,580,590,590
GET,/,8289,0,35,59.76878181,1.0436,627.2602,1507,435.4537423,0,35,71,85,93,130,190,250,280,630,630,630
,Aggregated,8289,0,35,59.76878181,1.0436,627.2602,1507,435.4537423,0,35,71,85,93,130,190,250,280,630,630,630
GET,/,8244,0,35,56.4307542,1.0811,421.4076,1507,432.0807052,0,35,68,81,90,120,180,220,280,420,420,420
,Aggregated,8244,0,35,56.4307542,1.0811,421.4076,1507,432.0807052,0,35,68,81,90,120,180,220,280,420,420,420
GET,/,8751,0,58,63.68414996,1.133,567.7308,1507,459.005611,0,58,79,88,94,120,180,210,290,410,570,570
,Aggregated,8751,0,58,63.68414996,1.133,567.7308,1507,459.005611,0,58,79,88,94,120,180,210,290,410,570,570
GET,/,7393,0,59,193.0620309,0.942,2681.3349,1507,388.2467109,0,59,88,100,120,230,1700,2000,2100,2300,2700,2700
,Aggregated,7393,0,59,193.0620309,0.942,2681.3349,1507,388.2467109,0,59,88,100,120,230,1700,2000,2100,2300,2700,2700
GET,/,7863,0,52,75.76079237,1.131,598.5511,1507,411.9407328,0,52,80,95,110,190,270,310,380,490,600,600
,Aggregated,7863,0,52,75.76079237,1.131,598.5511,1507,411.9407328,0,52,80,95,110,190,270,310,380,490,600,600
GET,/,7564,0,50,74.65399351,1.1118,562.916,1507,396.5706699,0,50,77,90,100,180,250,340,400,560,560,560
,Aggregated,7564,0,50,74.65399351,1.1118,562.916,1507,396.5706699,0,50,77,90,100,180,250,340,400,560,560,560
GET,/,7384,0,44,70.48398533,1.048,761.7897,1507,386.9045636,0,44,71,82,90,180,270,320,380,760,760,760
,Aggregated,7384,0,44,70.48398533,1.048,761.7897,1507,386.9045636,0,44,71,82,90,180,270,320,380,760,760,760
GET,/,7415,0,42,69.2856168,1.0859,721.1286,1507,390.3753693,0,42,74,90,99,170,250,300,320,590,720,720
,Aggregated,7415,0,42,69.2856168,1.0859,721.1286,1507,390.3753693,0,42,74,90,99,170,250,300,320,590,720,720
GET,/,7927,0,63,70.92243586,1.0561,380.9738,1507,415.4801414,0,63,82,93,100,170,200,260,280,370,380,380
,Aggregated,7927,0,63,70.92243586,1.0561,380.9738,1507,415.4801414,0,63,82,93,100,170,200,260,280,370,380,380
GET,/,8337,0,76,84.39878793,1.0814,550.6958,1507,437.5899691,0,76,95,110,120,190,210,260,300,510,550,550
,Aggregated,8337,0,76,84.39878793,1.0814,550.6958,1507,437.5899691,0,76,95,110,120,190,210,260,300,510,550,550
