POD,CPU,MEMORY,TIME,Resource,
frontend-767bb5b6b6-5fvdr,86,31Mi,1703208332,125.167336,
frontend-767bb5b6b6-5fvdr,86,31Mi,1703208353,119.1432396,
frontend-767bb5b6b6-5fvdr,95,31Mi,1703208375,115.1271754,
frontend-767bb5b6b6-5fvdr,85,31Mi,1703208396,121.1512718,
frontend-767bb5b6b6-5fvdr,84,31Mi,1703208418,120.4819277,
frontend-767bb5b6b6-5fvdr,84,31Mi,1703208440,113.1191432,
frontend-767bb5b6b6-5fvdr,94,31Mi,1703208461,112.4497992,
frontend-767bb5b6b6-5fvdr,83,31Mi,1703208483,119.1432396,
frontend-767bb5b6b6-5fvdr,85,31Mi,1703208504,118.4738956,
frontend-767bb5b6b6-5fvdr,87,30Mi,1703208526,112.4497992,
frontend-767bb5b6b6-5fvdr,79,30Mi,1703208547,115.1271754,
frontend-767bb5b6b6-5fvdr,79,30Mi,1703208569,111.1111111,
frontend-767bb5b6b6-5fvdr,79,30Mi,1703208591,105.7563588,
frontend-767bb5b6b6-5fvdr,88,31Mi,1703208612,105.7563588,
frontend-767bb5b6b6-5fvdr,97,31Mi,1703208634,111.7804552,
frontend-767bb5b6b6-5fvdr,104,31Mi,1703208655,123.8286479,
frontend-767bb5b6b6-5fvdr,102,31Mi,1703208677,134.5381526,
frontend-767bb5b6b6-5fvdr,102,31Mi,1703208699,137.8848728,
frontend-767bb5b6b6-5fvdr,105,31Mi,1703208720,136.5461847,
frontend-767bb5b6b6-5fvdr,81,31Mi,1703208742,138.5542169,
frontend-767bb5b6b6-5fvdr,93,31Mi,1703208763,124.497992,
frontend-767bb5b6b6-5fvdr,88,31Mi,1703208785,116.4658635,
frontend-767bb5b6b6-5fvdr,90,31Mi,1703208807,121.1512718,
frontend-767bb5b6b6-5fvdr,109,31Mi,1703208828,119.1432396,
frontend-767bb5b6b6-5fvdr,89,31Mi,1703208850,133.1994645,
frontend-767bb5b6b6-5fvdr,95,31Mi,1703208871,132.5301205,
frontend-767bb5b6b6-5fvdr,93,31Mi,1703208893,123.1593039,
frontend-767bb5b6b6-5fvdr,83,31Mi,1703208915,125.8366801,
frontend-767bb5b6b6-5fvdr,83,31Mi,1703208937,117.8045515,
frontend-767bb5b6b6-5fvdr,70,31Mi,1703208958,111.1111111,
frontend-767bb5b6b6-5fvdr,95,31Mi,1703208980,102.4096386,
frontend-767bb5b6b6-5fvdr,76,31Mi,1703209001,110.4417671,
frontend-767bb5b6b6-5fvdr,76,31Mi,1703209023,114.4578313,
frontend-767bb5b6b6-5fvdr,74,31Mi,1703209045,101.7402945,
frontend-767bb5b6b6-5fvdr,79,31Mi,1703209066,100.4016064,
frontend-767bb5b6b6-5fvdr,92,31Mi,1703209088,102.4096386,
frontend-767bb5b6b6-5fvdr,85,31Mi,1703209109,114.4578313,
frontend-767bb5b6b6-5fvdr,88,31Mi,1703209131,118.4738956,
frontend-767bb5b6b6-5fvdr,86,31Mi,1703209153,115.7965194,
frontend-767bb5b6b6-5fvdr,82,31Mi,1703209174,116.4658635,
frontend-767bb5b6b6-5fvdr,79,31Mi,1703209196,112.4497992,
frontend-767bb5b6b6-5fvdr,82,31Mi,1703209217,107.7643909,
frontend-767bb5b6b6-5fvdr,85,31Mi,1703209239,107.7643909,
frontend-767bb5b6b6-5fvdr,78,31Mi,1703209261,111.7804552,
frontend-767bb5b6b6-5fvdr,86,31Mi,1703209282,109.103079,
frontend-767bb5b6b6-5fvdr,85,31Mi,1703209304,109.772423,
frontend-767bb5b6b6-5fvdr,86,31Mi,1703209325,114.4578313,
frontend-767bb5b6b6-5fvdr,94,31Mi,1703209347,114.4578313,
