POD,CPU,MEMORY,TIME,Resource,,,
frontend-767bb5b6b6-cjccz,90,28Mi,1703254238,131.9505576,,,
frontend-767bb5b6b6-cjccz,90,28Mi,1703254259,117.6075917,,,
frontend-767bb5b6b6-cjccz,101,28Mi,1703254281,121.2284628,,,
frontend-767bb5b6b6-cjccz,76,28Mi,1703254303,130.3704148,,,
frontend-767bb5b6b6-cjccz,103,28Mi,1703254324,124.6737069,,,
frontend-767bb5b6b6-cjccz,81,28Mi,1703254346,115.6556644,,,
frontend-767bb5b6b6-cjccz,88,28Mi,1703254367,114.9228215,,,
frontend-767bb5b6b6-cjccz,88,28Mi,1703254389,118.2852818,,,
frontend-767bb5b6b6-cjccz,91,28Mi,1703254410,116.0178202,,,
frontend-767bb5b6b6-cjccz,92,28Mi,1703254432,120.9742489,,,
frontend-767bb5b6b6-cjccz,98,28Mi,1703254453,121.3525275,,,
frontend-767bb5b6b6-cjccz,95,28Mi,1703254475,129.7496382,,,
frontend-767bb5b6b6-cjccz,92,28Mi,1703254497,126.0039637,,,
frontend-767bb5b6b6-cjccz,87,28Mi,1703254518,122.263581,,,
frontend-767bb5b6b6-cjccz,95,28Mi,1703254540,116.2987236,,,
frontend-767bb5b6b6-cjccz,95,28Mi,1703254561,125.9502001,,,
frontend-767bb5b6b6-cjccz,101,28Mi,1703254583,126.7409234,,,
frontend-767bb5b6b6-cjccz,102,28Mi,1703254604,132.5593125,,,
frontend-767bb5b6b6-cjccz,88,28Mi,1703254626,134.7049852,,,
frontend-767bb5b6b6-cjccz,91,28Mi,1703254647,122.9294521,,,
frontend-767bb5b6b6-cjccz,95,28Mi,1703254669,121.7377928,,,
frontend-767bb5b6b6-cjccz,92,28Mi,1703254690,125.793745,,,
frontend-767bb5b6b6-cjccz,105,28Mi,1703254712,122.2601808,,,
frontend-767bb5b6b6-cjccz,73,28Mi,1703254733,138.4952975,,,
frontend-767bb5b6b6-cjccz,106,28Mi,1703254755,118.7824536,,,
frontend-767bb5b6b6-cjccz,86,28Mi,1703254776,119.0143768,,,
frontend-767bb5b6b6-cjccz,107,28Mi,1703254798,134.9592869,,,
frontend-767bb5b6b6-cjccz,95,28Mi,1703254820,123.3239096,,,
frontend-767bb5b6b6-cjccz,104,28Mi,1703254841,119.8797644,,,
frontend-767bb5b6b6-cjccz,86,28Mi,1703254863,138.7474575,,,
frontend-767bb5b6b6-cjccz,111,28Mi,1703254884,127.8963746,,,
frontend-767bb5b6b6-cjccz,92,28Mi,1703254906,122.8151637,,,
frontend-767bb5b6b6-cjccz,99,28Mi,1703254927,127.2826034,,,
frontend-767bb5b6b6-cjccz,99,28Mi,1703254949,131.8344033,,,
frontend-767bb5b6b6-cjccz,107,28Mi,1703254970,131.556444,,,
frontend-767bb5b6b6-cjccz,88,28Mi,1703254992,142.2338153,,,
frontend-767bb5b6b6-cjccz,105,28Mi,1703255014,130.5248997,,,
frontend-767bb5b6b6-cjccz,88,28Mi,1703255035,122.9182374,,,
frontend-767bb5b6b6-cjccz,89,28Mi,1703255057,125.7493484,,,
