POD,CPU,MEMORY,TIME,Resource,,,
,,,,,,42710,57069.80825
frontend-767bb5b6b6-tktzp,119,30Mi,1703010406,123.6727129,,,
frontend-767bb5b6b6-tktzp,89,30Mi,1703010428,139.2632525,,,
frontend-767bb5b6b6-tktzp,113,30Mi,1703010449,135.2201258,,,
frontend-767bb5b6b6-tktzp,93,30Mi,1703010471,127.4352001,,,
frontend-767bb5b6b6-tktzp,116,30Mi,1703010493,127.161981,,,
frontend-767bb5b6b6-tktzp,92,30Mi,1703010515,144.6540881,,,
frontend-767bb5b6b6-tktzp,101,31Mi,1703010537,135.2201258,,,
frontend-767bb5b6b6-tktzp,104,31Mi,1703010559,133.0409815,,,
frontend-767bb5b6b6-tktzp,100,31Mi,1703010581,138.6729959,,,
frontend-767bb5b6b6-tktzp,97,31Mi,1703010603,133.6825812,,,
frontend-767bb5b6b6-tktzp,85,31Mi,1703010624,130.0036999,,,
frontend-767bb5b6b6-tktzp,104,31Mi,1703010646,118.8885967,,,
frontend-767bb5b6b6-tktzp,85,31Mi,1703010668,128.4815813,,,
frontend-767bb5b6b6-tktzp,98,31Mi,1703010690,123.0907457,,,
frontend-767bb5b6b6-tktzp,90,31Mi,1703010712,126.1841506,,,
frontend-767bb5b6b6-tktzp,103,31Mi,1703010734,122.0428334,,,
frontend-767bb5b6b6-tktzp,88,31Mi,1703010756,130.7277628,,,
frontend-767bb5b6b6-tktzp,110,31Mi,1703010777,126.2353998,,,
frontend-767bb5b6b6-tktzp,82,31Mi,1703010799,124.2515945,,,
frontend-767bb5b6b6-tktzp,95,31Mi,1703010821,130.7822548,,,
frontend-767bb5b6b6-tktzp,100,31Mi,1703010843,126.2638136,,,
frontend-767bb5b6b6-tktzp,76,31Mi,1703010865,131.4372506,,,
frontend-767bb5b6b6-tktzp,108,31Mi,1703010887,128.3790904,,,
frontend-767bb5b6b6-tktzp,86,31Mi,1703010909,127.5831087,,,
frontend-767bb5b6b6-tktzp,104,31Mi,1703010931,121.2938005,,,
frontend-767bb5b6b6-tktzp,104,31Mi,1703010952,126.8482026,,,
frontend-767bb5b6b6-tktzp,79,31Mi,1703010974,136.8552918,,,
frontend-767bb5b6b6-tktzp,104,31Mi,1703010996,129.2931894,,,
frontend-767bb5b6b6-tktzp,91,31Mi,1703011018,128.9308176,,,
frontend-767bb5b6b6-tktzp,106,31Mi,1703011040,123.0907457,,,
frontend-767bb5b6b6-tktzp,107,31Mi,1703011062,139.207244,,,
frontend-767bb5b6b6-tktzp,82,31Mi,1703011083,142.0985119,,,
frontend-767bb5b6b6-tktzp,69,31Mi,1703011105,130.3138438,,,
frontend-767bb5b6b6-tktzp,80,31Mi,1703011127,96.19158677,,,
frontend-767bb5b6b6-tktzp,81,31Mi,1703011149,107.4937487,,,
