POD,CPU,MEMORY,TIME,Resource,,,,
frontend-767bb5b6b6-tktzp,86,26Mi,1702971310,100.2511936,,,,
frontend-767bb5b6b6-tktzp,94,26Mi,1702971331,102.0566541,,,,
frontend-767bb5b6b6-tktzp,74,26Mi,1702971353,110.1041172,,,,
frontend-767bb5b6b6-tktzp,102,26Mi,1702971375,111.1621242,,,,
frontend-767bb5b6b6-tktzp,72,26Mi,1702971397,123.5630182,,,,
frontend-767bb5b6b6-tktzp,105,26Mi,1702971419,124.8489682,,,,
frontend-767bb5b6b6-tktzp,83,26Mi,1702971441,134.7328069,,,,
frontend-767bb5b6b6-tktzp,90,25Mi,1702971463,132.12981,,,,
frontend-767bb5b6b6-tktzp,108,25Mi,1702971485,131.9633855,,,,
frontend-767bb5b6b6-tktzp,100,26Mi,1702971507,136.3550544,,,,
frontend-767bb5b6b6-tktzp,90,26Mi,1702971529,133.3264707,,,,
frontend-767bb5b6b6-tktzp,82,27Mi,1702971551,128.5071752,,,,
frontend-767bb5b6b6-tktzp,89,26Mi,1702971573,128.8765252,,,,
frontend-767bb5b6b6-tktzp,93,26Mi,1702971595,128.8693905,,,,
frontend-767bb5b6b6-tktzp,95,26Mi,1702971617,117.8627081,,,,
frontend-767bb5b6b6-tktzp,91,26Mi,1702971639,113.494011,,,,
frontend-767bb5b6b6-tktzp,84,26Mi,1702971661,113.7859127,,,,
frontend-767bb5b6b6-tktzp,85,26Mi,1702971682,112.6392626,,,,
frontend-767bb5b6b6-tktzp,92,26Mi,1702971704,113.0760151,,,,
frontend-767bb5b6b6-tktzp,73,26Mi,1702971726,112.5246076,,,,
frontend-767bb5b6b6-tktzp,104,26Mi,1702971748,113.349359,,,,
frontend-767bb5b6b6-tktzp,85,26Mi,1702971770,124.2225382,,,,
frontend-767bb5b6b6-tktzp,94,26Mi,1702971792,124.3079176,,,,
frontend-767bb5b6b6-tktzp,82,26Mi,1702971814,126.7020709,,,,
frontend-767bb5b6b6-tktzp,102,26Mi,1702971836,125.1069777,,,,
frontend-767bb5b6b6-tktzp,85,26Mi,1702971858,127.65,,,,
frontend-767bb5b6b6-tktzp,104,26Mi,1702971880,120.0413411,,,,
frontend-767bb5b6b6-tktzp,80,26Mi,1702971902,127.65,,,,
frontend-767bb5b6b6-tktzp,81,26Mi,1702971924,127.8073157,,,,
frontend-767bb5b6b6-tktzp,96,26Mi,1702971946,127.9771106,,,,
frontend-767bb5b6b6-tktzp,78,26Mi,1702971968,124.0280395,,,,
frontend-767bb5b6b6-tktzp,78,26Mi,1702971989,124.7124177,,,,
frontend-767bb5b6b6-tktzp,84,26Mi,1702972011,110.63,,,,
frontend-767bb5b6b6-tktzp,81,26Mi,1702972033,111.2770296,,,,
frontend-767bb5b6b6-tktzp,78,26Mi,1702972055,111.2770296,,,,
frontend-767bb5b6b6-tktzp,70,26Mi,1702972077,97.29,,,,
frontend-767bb5b6b6-tktzp,79,26Mi,1702972099,100.6589515,,,,
frontend-767bb5b6b6-tktzp,87,26Mi,1702972121,100.9086557,,,,
frontend-767bb5b6b6-tktzp,87,26Mi,1702972143,103.4476188,,,,
frontend-767bb5b6b6-tktzp,87,26Mi,1702972165,106.8779487,,,,
frontend-767bb5b6b6-tktzp,83,26Mi,1702972187,109.8313876,,,,
frontend-767bb5b6b6-tktzp,100,26Mi,1702972209,104.65,,,,
frontend-767bb5b6b6-tktzp,75,26Mi,1702972231,115.4837719,,,,
frontend-767bb5b6b6-tktzp,111,26Mi,1702972252,117.9658485,,,,
frontend-767bb5b6b6-tktzp,88,26Mi,1702972275,134.2768434,,,,
frontend-767bb5b6b6-tktzp,79,26Mi,1702972296,134.3697608,,,,
frontend-767bb5b6b6-tktzp,104,26Mi,1702972318,134.8620329,,,,
frontend-767bb5b6b6-tktzp,92,26Mi,1702972340,137.2639671,,,,
frontend-767bb5b6b6-tktzp,86,26Mi,1702972362,135.2601677,,,,
frontend-767bb5b6b6-tktzp,86,26Mi,1702972384,122.258586,,,,
frontend-767bb5b6b6-tktzp,98,26Mi,1702972406,122.0861407,,,,
frontend-767bb5b6b6-tktzp,84,26Mi,1702972428,123.2734272,,,,
frontend-767bb5b6b6-tktzp,90,26Mi,1702972450,114.4333708,,,,
frontend-767bb5b6b6-tktzp,82,26Mi,1702972472,113.6107963,,,,
frontend-767bb5b6b6-tktzp,80,26Mi,1702972494,114.2107648,,,,
frontend-767bb5b6b6-tktzp,103,26Mi,1702972516,114.8247459,,,,
frontend-767bb5b6b6-tktzp,81,26Mi,1702972538,120.0696963,,,,
frontend-767bb5b6b6-tktzp,85,26Mi,1702972560,120.193272,,,,
frontend-767bb5b6b6-tktzp,104,26Mi,1702972582,118.8296041,,,,
frontend-767bb5b6b6-tktzp,80,26Mi,1702972603,128.7300407,,,,
frontend-767bb5b6b6-tktzp,85,26Mi,1702972625,128.7300407,,,,
frontend-767bb5b6b6-tktzp,80,26Mi,1702972647,120.1536315,,,,
frontend-767bb5b6b6-tktzp,81,26Mi,1702972669,120.2576711,,,,
frontend-767bb5b6b6-tktzp,104,26Mi,1702972691,120.0299787,,,,
frontend-767bb5b6b6-tktzp,82,26Mi,1702972713,120.0299787,,,,
frontend-767bb5b6b6-tktzp,89,26Mi,1702972735,119.96266,,,,
frontend-767bb5b6b6-tktzp,89,26Mi,1702972757,120.9237012,,,,
frontend-767bb5b6b6-tktzp,91,26Mi,1702972779,121.2604204,,,,
frontend-767bb5b6b6-tktzp,87,26Mi,1702972801,121.1716222,,,,
frontend-767bb5b6b6-tktzp,77,26Mi,1702972823,107.8066541,,,,
frontend-767bb5b6b6-tktzp,99,26Mi,1702972845,111.0068998,,,,
frontend-767bb5b6b6-tktzp,75,26Mi,1702972867,118.1924415,,,,
frontend-767bb5b6b6-tktzp,92,26Mi,1702972889,119.1593729,,,,
frontend-767bb5b6b6-tktzp,109,26Mi,1702972910,119.6765252,,,,
frontend-767bb5b6b6-tktzp,92,26Mi,1702972932,133.7572079,,,,
frontend-767bb5b6b6-tktzp,103,26Mi,1702972954,132.9638177,,,,
frontend-767bb5b6b6-tktzp,87,26Mi,1702972976,135.0496257,,,,
frontend-767bb5b6b6-tktzp,119,26Mi,1702972998,129.7526258,,,,
frontend-767bb5b6b6-tktzp,95,27Mi,1702973020,143.8049429,,,,
frontend-767bb5b6b6-tktzp,124,27Mi,1702973042,139.790667,,,,
frontend-767bb5b6b6-tktzp,81,27Mi,1702973064,153.6925286,,,,
frontend-767bb5b6b6-tktzp,93,27Mi,1702973086,156.014813,,,,
frontend-767bb5b6b6-tktzp,93,27Mi,1702973108,155.4575543,,,,
frontend-767bb5b6b6-tktzp,90,27Mi,1702973130,144.6434508,,,,
frontend-767bb5b6b6-tktzp,101,27Mi,1702973152,144.1627064,,,,
frontend-767bb5b6b6-tktzp,88,27Mi,1702973174,120.1459988,,,,
frontend-767bb5b6b6-tktzp,90,27Mi,1702973196,117.1325341,,,,
frontend-767bb5b6b6-tktzp,95,27Mi,1702973217,116.8099573,,,,
frontend-767bb5b6b6-tktzp,69,27Mi,1702973239,117.5471141,,,,
frontend-767bb5b6b6-tktzp,88,27Mi,1702973261,126.6873708,,,,
frontend-767bb5b6b6-tktzp,88,27Mi,1702973283,119.3169537,,,,
frontend-767bb5b6b6-tktzp,89,27Mi,1702973305,119.3169537,,,,
frontend-767bb5b6b6-tktzp,99,27Mi,1702973327,118.8995428,,,,
frontend-767bb5b6b6-tktzp,91,27Mi,1702973349,121.9651112,,,,
frontend-767bb5b6b6-tktzp,91,27Mi,1702973371,114.188763,,,,
frontend-767bb5b6b6-tktzp,79,27Mi,1702973393,114.2597309,,,,
frontend-767bb5b6b6-tktzp,100,27Mi,1702973415,117.99,,,,
frontend-767bb5b6b6-tktzp,82,27Mi,1702973437,123.1341282,,,,
frontend-767bb5b6b6-tktzp,93,27Mi,1702973459,119.0153496,,,,
frontend-767bb5b6b6-tktzp,94,27Mi,1702973481,119.8662781,,,,
frontend-767bb5b6b6-tktzp,75,27Mi,1702973503,121.126835,,,,
frontend-767bb5b6b6-tktzp,91,27Mi,1702973525,122.865949,,,,
frontend-767bb5b6b6-tktzp,77,27Mi,1702973547,116.9514792,,,,
frontend-767bb5b6b6-tktzp,84,27Mi,1702973569,117.8662859,,,,
frontend-767bb5b6b6-tktzp,85,27Mi,1702973591,114.0047023,,,,
frontend-767bb5b6b6-tktzp,69,27Mi,1702973612,108.0602857,,,,
frontend-767bb5b6b6-tktzp,76,27Mi,1702973634,110.7385253,,,,
frontend-767bb5b6b6-tktzp,95,28Mi,1702973656,103.3727081,,,,
frontend-767bb5b6b6-tktzp,90,28Mi,1702973678,114.2995428,,,,
frontend-767bb5b6b6-tktzp,80,28Mi,1702973700,117.0748931,,,,
frontend-767bb5b6b6-tktzp,90,28Mi,1702973722,115.9248931,,,,
frontend-767bb5b6b6-tktzp,92,28Mi,1702973744,115.3543767,,,,
frontend-767bb5b6b6-tktzp,85,28Mi,1702973766,114.4107586,,,,
frontend-767bb5b6b6-tktzp,82,28Mi,1702973788,110.5460151,,,,
frontend-767bb5b6b6-tktzp,86,28Mi,1702973810,109.1998813,,,,
frontend-767bb5b6b6-tktzp,90,28Mi,1702973832,108.2787302,,,,
frontend-767bb5b6b6-tktzp,89,28Mi,1702973854,108.2787302,,,,
frontend-767bb5b6b6-tktzp,80,28Mi,1702973876,105.962242,,,,
frontend-767bb5b6b6-tktzp,93,28Mi,1702973899,107.1297309,,,,
frontend-767bb5b6b6-tktzp,94,28Mi,1702973920,110.8808875,,,,
frontend-767bb5b6b6-tktzp,92,28Mi,1702973942,113.9783508,,,,
frontend-767bb5b6b6-tktzp,93,28Mi,1702973964,114.7316038,,,,
frontend-767bb5b6b6-tktzp,94,28Mi,1702973987,116.0081368,,,,
frontend-767bb5b6b6-tktzp,74,26Mi,1702974008,108.9011624,,,,
frontend-767bb5b6b6-tktzp,92,27Mi,1702974030,120.6019532,,,,
frontend-767bb5b6b6-tktzp,99,27Mi,1702974052,119.6841282,,,,
frontend-767bb5b6b6-tktzp,84,27Mi,1702974075,123.6165918,,,,
frontend-767bb5b6b6-tktzp,110,28Mi,1702974097,122.0251831,,,,
frontend-767bb5b6b6-tktzp,88,28Mi,1702974119,133.9412249,,,,
frontend-767bb5b6b6-tktzp,102,28Mi,1702974140,129.8497626,,,,
frontend-767bb5b6b6-tktzp,101,28Mi,1702974162,132.8417264,,,,
frontend-767bb5b6b6-tktzp,88,28Mi,1702974184,133.610825,,,,
frontend-767bb5b6b6-tktzp,101,28Mi,1702974207,132.2232377,,,,
frontend-767bb5b6b6-tktzp,85,28Mi,1702974228,125.4469931,,,,
frontend-767bb5b6b6-tktzp,101,28Mi,1702974251,126.5864214,,,,
frontend-767bb5b6b6-tktzp,91,28Mi,1702974273,125.963155,,,,
frontend-767bb5b6b6-tktzp,120,28Mi,1702974295,122.4641879,,,,
frontend-767bb5b6b6-tktzp,92,28Mi,1702974316,141.8935665,,,,
frontend-767bb5b6b6-tktzp,95,28Mi,1702974338,140.5789737,,,,
frontend-767bb5b6b6-tktzp,117,28Mi,1702974360,139.3445071,,,,
frontend-767bb5b6b6-tktzp,81,28Mi,1702974383,147.7964138,,,,
frontend-767bb5b6b6-tktzp,97,28Mi,1702974404,150.7877251,,,,
frontend-767bb5b6b6-tktzp,97,28Mi,1702974427,137.7454161,,,,
frontend-767bb5b6b6-tktzp,93,28Mi,1702974448,138.4189682,,,,
frontend-767bb5b6b6-tktzp,119,28Mi,1702974471,138.2141332,,,,
frontend-767bb5b6b6-tktzp,92,28Mi,1702974493,140.2766164,,,,
frontend-767bb5b6b6-tktzp,96,28Mi,1702974515,137.3367015,,,,
frontend-767bb5b6b6-tktzp,94,28Mi,1702974536,137.2455096,,,,
frontend-767bb5b6b6-tktzp,99,28Mi,1702974558,137.0484101,,,,
frontend-767bb5b6b6-tktzp,77,28Mi,1702974580,137.4883081,,,,
frontend-767bb5b6b6-tktzp,94,28Mi,1702974602,122.9526545,,,,
frontend-767bb5b6b6-tktzp,80,28Mi,1702974624,123.5562383,,,,
frontend-767bb5b6b6-tktzp,98,28Mi,1702974646,122.033272,,,,
frontend-767bb5b6b6-tktzp,86,28Mi,1702974668,124.3494721,,,,
frontend-767bb5b6b6-tktzp,99,28Mi,1702974690,118.45,,,,
frontend-767bb5b6b6-tktzp,88,28Mi,1702974712,121.9236135,,,,
frontend-767bb5b6b6-tktzp,89,28Mi,1702974734,120.467933,,,,
frontend-767bb5b6b6-tktzp,89,28Mi,1702974756,118.2285156,,,,
frontend-767bb5b6b6-tktzp,90,28Mi,1702974778,114.1589213,,,,
frontend-767bb5b6b6-tktzp,82,28Mi,1702974800,113.9642901,,,,
frontend-767bb5b6b6-tktzp,81,28Mi,1702974822,107.342242,,,,
frontend-767bb5b6b6-tktzp,81,28Mi,1702974844,108.0259766,,,,
frontend-767bb5b6b6-tktzp,91,28Mi,1702974867,106.5587432,,,,
frontend-767bb5b6b6-tktzp,78,28Mi,1702974889,108.1382626,,,,
frontend-767bb5b6b6-tktzp,96,28Mi,1702974911,105.1308875,,,,
frontend-767bb5b6b6-tktzp,81,28Mi,1702974932,114.0516413,,,,
frontend-767bb5b6b6-tktzp,86,28Mi,1702974955,114.0516413,,,,
frontend-767bb5b6b6-tktzp,97,28Mi,1702974977,114.3788415,,,,
frontend-767bb5b6b6-tktzp,112,28Mi,1702974999,118.4723884,,,,
frontend-767bb5b6b6-tktzp,99,28Mi,1702975021,133.1000407,,,,
